,itemId,value,metrics/pageviews,metrics/visits,metrics/visitors
0,1210801,"Sep 1, 2021",368.0,124.0,107.0
1,1210802,"Sep 2, 2021",386.0,127.0,117.0
2,1210803,"Sep 3, 2021",208.0,103.0,97.0
3,1210804,"Sep 4, 2021",26.0,16.0,16.0
4,1210805,"Sep 5, 2021",37.0,21.0,21.0
5,1210806,"Sep 6, 2021",56.0,26.0,25.0
6,1210807,"Sep 7, 2021",350.0,152.0,134.0
7,1210808,"Sep 8, 2021",329.0,129.0,114.0
8,1210809,"Sep 9, 2021",238.0,101.0,90.0
9,1210810,"Sep 10, 2021",193.0,98.0,92.0
10,1210811,"Sep 11, 2021",42.0,23.0,19.0
11,1210812,"Sep 12, 2021",42.0,19.0,18.0
12,1210813,"Sep 13, 2021",221.0,95.0,83.0
13,1210814,"Sep 14, 2021",173.0,85.0,76.0
14,1210815,"Sep 15, 2021",215.0,88.0,76.0
15,1210816,"Sep 16, 2021",293.0,123.0,103.0
16,1210817,"Sep 17, 2021",249.0,109.0,97.0
17,1210818,"Sep 18, 2021",25.0,18.0,17.0
18,1210819,"Sep 19, 2021",21.0,11.0,11.0
19,1210820,"Sep 20, 2021",271.0,93.0,77.0
20,1210821,"Sep 21, 2021",165.0,72.0,63.0
21,1210822,"Sep 22, 2021",258.0,89.0,73.0
22,1210823,"Sep 23, 2021",255.0,79.0,67.0
23,1210824,"Sep 24, 2021",234.0,82.0,74.0
24,1210825,"Sep 25, 2021",49.0,26.0,23.0
25,1210826,"Sep 26, 2021",51.0,28.0,26.0
26,1210827,"Sep 27, 2021",174.0,89.0,78.0
27,1210828,"Sep 28, 2021",158.0,81.0,67.0
28,1210829,"Sep 29, 2021",293.0,122.0,101.0
29,1210830,"Sep 30, 2021",58.0,34.0,31.0
30,1210901,"Oct 1, 2021",154.0,60.0,53.0
31,1210902,"Oct 2, 2021",57.0,26.0,25.0
32,1210903,"Oct 3, 2021",38.0,27.0,27.0
33,1210904,"Oct 4, 2021",202.0,96.0,86.0
34,1210905,"Oct 5, 2021",159.0,72.0,65.0
35,1210906,"Oct 6, 2021",161.0,65.0,54.0
36,1210907,"Oct 7, 2021",176.0,84.0,73.0
37,1210908,"Oct 8, 2021",150.0,58.0,52.0
38,1210909,"Oct 9, 2021",23.0,15.0,15.0
39,1210910,"Oct 10, 2021",33.0,22.0,22.0
40,1210911,"Oct 11, 2021",42.0,24.0,20.0
41,1210912,"Oct 12, 2021",157.0,82.0,73.0
42,1210913,"Oct 13, 2021",165.0,78.0,61.0
43,1210914,"Oct 14, 2021",0.0,0.0,0.0
