,itemId,value,metrics/averagetimespentonsite
0,1210618,"Jul 18, 2021",0.0
1,1210619,"Jul 19, 2021",0.0
2,1210620,"Jul 20, 2021",0.0
3,1210621,"Jul 21, 2021",0.0
4,1210622,"Jul 22, 2021",0.0
5,1210623,"Jul 23, 2021",0.0
6,1210624,"Jul 24, 2021",0.0
7,1210625,"Jul 25, 2021",0.0
8,1210626,"Jul 26, 2021",0.0
9,1210627,"Jul 27, 2021",0.0
10,1210628,"Jul 28, 2021",0.0
11,1210629,"Jul 29, 2021",0.0
12,1210630,"Jul 30, 2021",170.3168103448276
13,1210631,"Jul 31, 2021",108.95327102803738
14,1210701,"Aug 1, 2021",151.8679245283019
15,1210702,"Aug 2, 2021",106.20289855072464
16,1210703,"Aug 3, 2021",243.04026845637583
17,1210704,"Aug 4, 2021",290.36170212765956
18,1210705,"Aug 5, 2021",200.44444444444446
19,1210706,"Aug 6, 2021",292.9782608695652
20,1210707,"Aug 7, 2021",88.57142857142857
21,1210708,"Aug 8, 2021",95.4
22,1210709,"Aug 9, 2021",184.07692307692307
23,1210710,"Aug 10, 2021",242.27272727272728
24,1210711,"Aug 11, 2021",440.5
25,1210712,"Aug 12, 2021",435.54545454545456
26,1210713,"Aug 13, 2021",251.125
27,1210714,"Aug 14, 2021",108.25
28,1210715,"Aug 15, 2021",66.71428571428571
29,1210716,"Aug 16, 2021",208.6043956043956
30,1210717,"Aug 17, 2021",205.92488954344626
31,1210718,"Aug 18, 2021",229.64233576642334
32,1210719,"Aug 19, 2021",268.0262008733624
33,1210720,"Aug 20, 2021",300.5
34,1210721,"Aug 21, 2021",99.5
35,1210722,"Aug 22, 2021",139.3
36,1210723,"Aug 23, 2021",275.26056338028167
37,1210724,"Aug 24, 2021",179.9672131147541
38,1210725,"Aug 25, 2021",253.36153846153846
39,1210726,"Aug 26, 2021",299.2470588235294
40,1210727,"Aug 27, 2021",170.77966101694915
41,1210728,"Aug 28, 2021",243.72727272727272
42,1210729,"Aug 29, 2021",49.3
43,1210730,"Aug 30, 2021",298.29411764705884
44,1210731,"Aug 31, 2021",183.28571428571428
45,1210801,"Sep 1, 2021",353.75757575757575
